6_0; 6_1; 6_2; 6_3; 6_4; 6_5; 6_6; 6_7; 6_8; 6_9; 6_10; 6_11; 6_12; 6_13; 6_14
 ; boat ( [b-b] [oa-əʊ] [t-t] ); right ( [r-r] [igh-aɪ] [t-t] );  ; horning # horn-ing ˈhɔːn.ɪŋ ( [h-h] [or-ɔː] [n-n] [i-ɪ] [ng-ŋ] ) ing;  ; lock ( [l-l] [o-ɒ] [ck-k] );  ;  ; tile ( [t-t] [i.e-aɪ] [l-l] ); rear ( [r-r] [ear-ɪə] );  ;  ;  ;  
 ; farm ( [f-f] [ar-ɑː] [m-m] ); reach ( [r-r] [ea-iː] [ch-tʃ] );  ;  ;  ; peer ( [p-p] [eer-ɪə] );  ;  ; tight ( [t-t] [igh-aɪ] [t-t] ); fare ( [f-f] [a-e] [re-ə] );  ;  ;  ;  
 ; band ( [b-b] [a-æ] [n-n] [d-d] ); parent # pa-rent ˈpeə.rənt ( [p-p] [a-eə] [r-r] [e-ə] [n-n] [t-t] ) NULL;  ;  ;  ; pray ( [p-p] [r-r] [ay-eɪ] );  ;  ; fighter # figh-ter ˈfaɪ.tə ( [f-f] [igh-aɪ] [t-t] [er-ə] ) NULL; founder # foun-der ˈfaʊn.də ( [f-f] [ou-aʊ] [n-n] [d-d] [er-ə] ) NULL;  ;  ;  ;  
 ; cool ( [c-k] [oo-uː] [l-l] ); market ( [m-m] [ar-ɑː] [k-k] [e-ɪ] [t-t] );  ;  ;  ; order # or-der ˈɔː.də ( [or-ɔː] [d-d] [er-ə] ) NULL;  ;  ; qualify # qua-li-fy ˈkwɒ.lɪ.faɪ ( [q-k] [u-w] [a-ɒ] [l-l] [i-ɪ] [f-f] [y-aɪ] ) NULL; fighter # figh-ter ˈfaɪ.tə ( [f-f] [igh-aɪ] [t-t] [er-ə] ) NULL;  ;  ;  ;  
 ; tall ( [t-t] [a-ɔː] [ll-l] ); rank ( [r-r] [a-æ] [n-ŋ] [k-k] );  ;  ;  ; glass ( [g-g] [l-l] [a-ɑː] [ss-s] );  ;  ; tucking # tuck-ing ˈtʌk.ɪŋ ( [t-t] [u-ʌ] [ck-k] [i-ɪ] [ng-ŋ] ) ing; fighting # fight-ing ˈfaɪt.ɪŋ ( [f-f] [igh-aɪ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ;  
 ; soil ( [s-s] [oi-ɔɪ] [l-l] ); teach ( [t-t] [ea-iː] [ch-tʃ] );  ;  ;  ; fresh ( [f-f] [r-r] [e-e] [sh-ʃ] );  ;  ;  ; fiver # fi-ver ˈfaɪ.və ( [f-f] [i-aɪ] [v-v] [er-ə] ) er;  ;  ;  ;  
 ; bond ( [b-b] [o-ɒ] [n-n] [d-d] ); tough ( [t-t] [ou-ʌ] [gh-f] );  ;  ;  ; scale ( [s-s] [c-k] [a.e-eɪ] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; core ( [c-k] [ore-ɔː] ); stare ( [s-s] [t-t] [a-e] [re-ə] );  ;  ;  ; river # ri-ver ˈrɪ.və ( [r-r] [i-ɪ] [v-v] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; point ( [p-p] [oi-ɔɪ] [n-n] [t-t] ); sheet ( [sh-ʃ] [ee-iː] [t-t] );  ;  ;  ; brown ( [b-b] [r-r] [ow-aʊ] [n-n] );  ;  ;  ;  ;  ;  ;  ;  
 ; black ( [b-b] [l-l] [a-æ] [ck-k] ); match ( [m-m] [a-æ] [tch-tʃ] );  ;  ;  ; frame ( [f-f] [r-r] [a.e-eɪ] [m-m] );  ;  ;  ;  ;  ;  ;  ;  
 ; whole ( [wh-h] [o.e-əʊ] [l-l] ); rough ( [r-r] [ou-ʌ] [gh-f] );  ;  ;  ; tired # ti-red ˈtaɪ.əd ( [t-t] [i-aɪ] [re-ə] [d-d] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; nation # na-tion ˈneɪʃ.ən ( [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; nearly # near-ly ˈnɪə.li ( [n-n] [ear-ɪə] [l-l] [y-i] ) NULL;  ;  ;  ; grass ( [g-g] [r-r] [a-ɑː] [ss-s] );  ;  ;  ;  ;  ;  ;  ;  
 ; former # for-mer ˈfɔː.mə ( [f-f] [or-ɔː] [m-m] [er-ə] ) NULL; planet # pla-net ˈplæ.nɪt ( [p-p] [l-l] [a-æ] [n-n] [e-ɪ] [t-t] ) NULL;  ;  ;  ; steel ( [s-s] [t-t] [ee-iː] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; cast ( [c-k] [a-ɑː] [s-s] [t-t] ); rating # rat-ing ˈreɪt.ɪŋ ( [r-r] [a-eɪ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; anger # an-ger ˈæŋ.gə ( [a-æ] [n-ŋ] [g-g] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; post ( [p-p] [o-əʊ] [s-s] [t-t] ); hearing # hear-ing ˈhɪər.ɪŋ ( [h-h] [ear-ɪər] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; tower # tow-er ˈtaʊ.ə ( [t-t] [ow-aʊ] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; lock ( [l-l] [o-ɒ] [ck-k] ); teaching # teach-ing ˈtiːtʃ.ɪŋ ( [t-t] [ea-iː] [ch-tʃ] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; player ( [p-p] [l-l] [ay-eɪ] [er-ə] );  ;  ;  ;  ;  ;  ;  ;  
 ; sale ( [s-s] [a.e-eɪ] [l-l] ); testing # test-ing ˈtest.ɪŋ ( [t-t] [e-e] [s-s] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; cancer # can-cer ˈkæn.sə ( [c-k] [a-æ] [n-n] [c-s] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; boot ( [b-b] [oo-uː] [t-t] ); roughly # rou-ghly ˈrʌ.fli ( [r-r] [ou-ʌ] [gh-f] [l-l] [y-i] ) NULL;  ;  ;  ; reader # read-er ˈriːd.ə ( [r-r] [ea-iː] [d-d] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; port ( [p-p] [or-ɔː] [t-t] ); pet ( [p-p] [e-e] [t-t] );  ;  ;  ; border # bor-der ˈbɔː.də ( [b-b] [or-ɔː] [d-d] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; lost ( [l-l] [o-ɒ] [s-s] [t-t] ); rip ( [r-r] [i-ɪ] [p-p] );  ;  ;  ; appeal # ap-peal ə.ˈpiːl ( [a-ə] [pp-p] [ea-iː] [l-l] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; store ( [s-s] [t-t] [ore-ɔː] ); bat ( [b-b] [a-æ] [t-t] );  ;  ;  ; reading # read-ing ˈriːd.ɪŋ ( [r-r] [ea-iː] [d-d] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; stock ( [s-s] [t-t] [o-ɒ] [ck-k] ); tail ( [t-t] [ai-eɪ] [l-l] );  ;  ;  ; hearing # hear-ing ˈhɪər.ɪŋ ( [h-h] [ear-ɪər] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; share ( [sh-ʃ] [a-e] [re-ə] ); fate ( [f-f] [a.e-eɪ] [t-t] );  ;  ;  ; prayer ( [p-p] [r-r] [ayer-eə] );  ;  ;  ;  ;  ;  ;  ;  
 ; score ( [s-s] [c-k] [ore-ɔː] ); tent ( [t-t] [e-e] [n-n] [t-t] );  ;  ;  ; dealer # dea-ler ˈdiː.lə ( [d-d] [ea-iː] [l-l] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; stare ( [s-s] [t-t] [a-e] [re-ə] ); dare ( [d-d] [a-e] [re-ə] );  ;  ;  ; leading # lead-ing ˈliːd.ɪŋ ( [l-l] [ea-iː] [d-d] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; sales ( [s-s] [a.e-eɪ] [l-l] [s-z] ); rail ( [r-r] [ai-eɪ] [l-l] );  ;  ;  ; raw ( [r-r] [aw-ɔː] );  ;  ;  ;  ;  ;  ;  ;  
 ; block ( [b-b] [l-l] [o-ɒ] [ck-k] ); rape ( [r-r] [a.e-eɪ] [p-p] );  ;  ;  ; rid ( [r-r] [i-ɪ] [d-d] );  ;  ;  ;  ;  ;  ;  ;  
 ; paint ( [p-p] [ai-eɪ] [n-n] [t-t] ); rent ( [r-r] [e-e] [n-n] [t-t] );  ;  ;  ; rip ( [r-r] [i-ɪ] [p-p] );  ;  ;  ;  ;  ;  ;  ;  
 ; adopt # a-dopt ə.ˈdɒpt ( [a-ə] [d-d] [o-ɒ] [p-p] [t-t] ) NULL; rear ( [r-r] [ear-ɪə] );  ;  ;  ; lid ( [l-l] [i-ɪ] [d-d] );  ;  ;  ;  ;  ;  ;  ;  
